1879;А МНЕ ЛЕТАТЬ ОХОТА!;"ИЗ М/Ф ""ЛЕТУЧИЙ КОРАБЛЬ""";ДУНАЕВСКИЙ М.;ЭНТИН Ю.; ; 
490;А МОЖЕТ ДА;СВЕТА;СВЕТА;СВЕТА; ; 
2167;А НАПОСЛЕДОК Я СКАЖУ;"ИЗ К/Ф ""ЖЕСТОКИЙ РОМАНС""";ПЕТРОВА.;АХМАДУЛИНА Б.; ; 
799;А ОН МНЕ НРАВИТСЯ;ГЕРМАН А.;ШАИНСКИЙ В.;ЖИГАРЕВ А.; ; 
1631;А СЕЧКУ ЖРИТЕ САМИ!;КРУГ М.;КРУГ М.;КРУГ М.;•; 
715;А СНЕГ ИДЕТ;КРИСТАЛИНСКАЯ М.;ЭШПАЙ А.;ЕВТУШЕНКО Е.; ;•
503;А ТЫ ВОЗЬМИ МЕНЯ;КУЗЬМИН В.;КУЗЬМИН В.;КУЗЬМИН В.; ; 
1810;А ТЫ ВСЕ ЖДЕШЬ;ЧАЙ ВДВОЕМ;КЛЯВЕР Д., КОСТЮШКИН С.;КЛЯВЕР Д.; ; 
800;А ТЫ ЛЮБИ ЕЕ, СВОЮ ДЕВЧОНКУ;ВИА;ТУХМАНОВ Д.;НОЖКИН М.; ; 
7;А ТЫ НЕ ЛЕТЧИК;АНКА;СТУПИШИНА Н.;ТАНИЧ М.;•; 
511;А У МЕНЯ ВСЕ СХВАЧЕНО;КАРАЧЕНЦОВ Н.;КВИНТ Л.;АЛЕНИКОВ В.; ; 
2168;А ЦЫГАН ИДЕТ;"ИЗ К/Ф ""ЖЕСТОКИЙ РОМАНС""";ПЕТРОВ А.;КИПЛИНГ Р., КРУЖКОВ Г.; ; 
1378;А ЧТО НАМ НАДО?;СЕРЬГА;ГАЛАНИН С.;ГАЛАНИН С.; ; 
8;А Я В ВОДУ ВОЙДУ;ПУГАЧЕВА А.;КУЛИКОВ А.;КУЛИКОВ А.; ; 
9;А Я ВСЕ ЛЕТАЛА;БЛЕСТЯЩИЕ;ГРОЗНЫЙ А.;НОВИКОВА К.;•; 
10;А Я ДЕВУШЕК ЛЮБЛЮ;ГАЗМАНОВ О.;ГАЗМАНОВ О.;ГАЗМАНОВ О.; ; 
801;А Я ЛЮБЛЮ ВОЕННЫХ;КОМБИНАЦИЯ;САРУХАНОВ И.;ГРАБОВСКАЯ Е.; ; 
538;А Я ТОЛЬКО С МОРОЗА;ВЕРКА СЕРДЮЧКА;ДАНИЛКО А.;ДАНИЛКО А.; ; 
543;А Я У ГАЙ ХОДИЛА;ВЕРКА СЕРДЮЧКА;ДАНИЛКО А.;ДАНИЛКО А.; ; 
545;А Я ЧАЙНИЧАЛА;ЗОЛОТОЕ КОЛЬЦО;НАР, КОСТЮКА.;НАР.; ; 
550;АБРИКОСЫ;ВЕРКА СЕРДЮЧКА;ДАНИЛКО А.;ДАНИЛКО А.; ; 
11;АВГУСТИН;ЛЕОНТЬЕВ В.;МУРАТОВ Р.;МАРКЕВИЧ А.;•; 
2079;АВИАТОР;МИТЯЕВ О.;МИТЯЕВ О.;МИТЯЕВ О.; ; 
1632;АВТООТВЕТЧИК;ШАН-ХАЙ ВАЛЕРА;БОРОДИН В.;БЕРЕЖНОЙ А.; ; 
12;АВТОСЕРВИС;ИГОРЕК;СОРОКИН И.;СОРОКИН И.; ; 
1113;АД;UMA2RMAH;КРИСТОВСКИЙ В.;КРИСТОВСКИЙ В.; ; 
562;АЙ ЯЙ;ПРЕМЬЕР-МИНИСТР;БОДОЛИКА В.;САШИН С., МЕЛЬНИК Э.; ; 
802;АЙСБЕРГ;ПУГАЧЕВА А.;НИКОЛАЕВ И.;КОЗЛОВА Л.;•; 
631;АЙ-ЯЙ-ЯЙ;РУКИ ВВЕРХ;ЖУКОВ С, ПОТЕХИН А.;ЖУКОВ С, ПОТЕХИН А.;•; 
13;АКАПУЛЬКО;ВАЙКУЛЕ Л.;КРУТОЙ И.;ПЕЛЕНЯГРЭ В.;•; 
3432;АКВАМАРИН;ФРИСКЕ Ж.;ГРОЗНЫЙ А.;ИВАНОВА Т.; ; 
563;АККОРДЕОН;ЛЕПРИКОНСЫ;МИТЬКО И.;МИТЬКО И.; ; 
14;АКТРИСА;МЕЛАДЗЕ В.;МЕЛАДЗЕ К.;МЕЛАДЗЕ К.; ; 
605;АЛЕЕТ ЛЕТО;ВЛАСОВА Н.;ВЛАСОВА Н.;ВЛАСОВА Н.;•; 
803;АЛЕНУШКА;МАРТЫНОВ Е.;ДЕМЕНТЬЕВА.;МАРТЫНОВ Е.; ; 
2016;АЛЕША;ИОШПЕ А.;КОЛМАНОВСКИЙ Э.;ВАНШЕНКИН К.; ; 
608;АЛЕШКИНА ЛЮБОВЬ;ВИА;ДЬЯЧКОВ С.;ГАДЖИКАСИМОВ О.; ; 
804;АЛИ-БАБА;САМОЦВЕТЫ;МАЛИКОВ Ю.;ШАФЕРАН И.; ; 
805;АЛИСА;СЕКРЕТ;ЛЕОНИДОВ М.;РУБИН Д.;•; 
612;АЛЛАДИН;ЛЕОНТЬЕВ В.;ГАРНИЗОВ А.;ГАРИН Ю.; ; 
15;АЛЛО;ПУГАЧЕВА А.;ПУГАЧЕВА А.;НИКОЛАЕВ И.; ; 
626;АЛЛО! АЛЛО!;ЛЕСОВСКАЯ В.;ЛЕСОВСКАЯ В.;ЛЕСОВСКАЯ В.; ; 
806;АЛМАЗ;МОН А.;МОН А.;МОН А.; ; 
1830;АЛЫЕ ПАРУСА;НАР.;НЕЙЗВ.;НЕИЗВ.; ; 
1379;АЛЮМИНИЕВЫЕ ОГУРЦЫ;КИНО;ЦОЙ В.;ЦОЙ В.;•; 
1633;АМНИСТИЯ;КУЗНЕЦОВ А.;КУЗНЕЦОВ А.;КУЗНЕЦОВА; ; 
629;АНГЕЛ;БУЛАНОВА Т.;КАБЛУКОВ Н.;ШАРОВ С.; ; 
3431;АНГЕЛ;ОРЛОВА О.;ГРОЗНЫЙ А.;ОРЛОВА О.; ; 
635;АНГЕЛ ДНЯ;РУССКИЙ РАЗМЕР;БОНДАРЮК В.;КОПОТИЛОВ Д.; ; 
649;АНГЕЛ-ХРАНИТЕЛЬ;ХОР ЗВЕЗД;КРУТОЙ И.;НИКОЛАЕВ И.; ; 
1380;АНГЕЛЬСКАЯ ПЫЛЬ;АРИЯ;ДУБИНИН В., ХОЛСТИНИН В.;ПУШКИНА М.; ; 
1880;АНТОШКА;ДЕТСКИЙ ХОР ВР И ЦТ;ШАИНСКИЙ В.;ЭНТИН Ю.;•; 
807;АП;БОЯРСКИЙ М.;МАЛИКОВ Ю., ПРЕСНЯКОВ В.П.;ШАФЕРАН И.;•; 
632;АПЕЛЬСИНОВАЯ ПЕСНЯ;БЛЕСТЯЩИЕ;ГРОЗНЫЙ А.;ИВАНОВА Т.; ;•
3425;АПОКАЛИПСИС;АМЕГА;ГРОЗНЫЙ А.;ИВАНОВА Т.; ; 
1381;АПРЕЛЬ;КИНО;ЦОЙ В.;ЦОЙ В.; ; 
2936;АПРЕЛЬ;СМЫСЛОВЫЕ ГАЛЛЮЦИНАЦИИ;БОБУНЕЦ С.;БОБУНЕЦ С.; ; 
1382;АРГЕНТИНА - ЯМАЙКА;ЧАЙФ;ШАХРИН В.;ШАХРИН В.;•; 
16;АРГЕНТИНЕЦ;РОСТОВА П.;МОСС ДЖ.;А'КИМ А.;•; 
653;АРИАДНА;МУРОМОВ М.;ЗУБКОВ А., МУРОМОВ М.;КАЗАКОВА Р; ; 
1383;АРИВЕДЕРЧИ;ЗЕМФИРА;РАМАЗАНОВА 3.;РАМАЗАНОВА 3.; ; 
17;АРИФМЕТИКА ЛЮБВИ;БАЙКОВ В.;БАЙКОВ В.;ПОПКОВ В.; ; 
808;АРЛЕКИНО;ПУГАЧЕВА А.;ДИМИТРОВ Э.;ДИМИТРОВ Э., ПЕР. БАРКАС Б.;•;
19;АРТИСТ БОЛЬШОГО ТЕАТРА;ЛОЛИТА;ОРЛОВ М.;ОРЛОВ М.; ; 
1384;АССОЛЬ;СУКАЧЕВ Г;СУКАЧЕВ И.;СУКАЧЕВ И.; ; 
701;АСФАЛЬТ;НОЧНЫЕ СНАЙПЕРЫ;АРБЕНИНА Д.;АРБЕНИНА Д.; ; 
3388;АТАМАН;РЯДОВОЙ ДАРИН;МАМОЧКА Ю.;ДАРИН Д.; ; 
718;АТЛАНТИДА;КИРКОРОВ Ф.;ЛУКЬЯНОВА.;ДЕРБЕНЕВ Л.; ; 
719;АТОМНОЕ ЧУВСТВО ЛЮБОВЬ;ПРЕМЬЕР-МИНИСТР;БОДОЛИКА В.;АРСЕНЕВ К.; ;•
1634;АТЫ-БАТЫ;ТРОФИМ;ТРОФИМ;ТРОФИМ; ; 
1385;АУ;ЛЯПИС ТРУБЕЦКОЙ;МИХАЛОК С.;МИХАЛОК С.;•; 
20;АУ-АУ;БЛЕСТЯЩИЕ;ГРОЗНЫЙ А.;ГРОЗНЫЙ А, ИВАНОВА Т.;•; 
21;АХ. КАКАЯ ЖЕНЩИНА;ФРИСТАЙЛ;РОЗАНОВ А.;НАЗАРОВА Т.;•; 
809;АХ, КАРНАВАЛ;НАЗАРОВ В.;НАЗАРОВ В.;КАВАЛЕРЯН К., КОНСТАНТИНОВСКИЙ А.; ; 
1831;АХ, ОДЕССА;НАР.;ТАБАЧНИКОВ М.;ТАБАЧНИКОВ М.; ; 
716;АХ, ОДЕССА;УТЕСОВ Л.;ЭШПАЙ А.;КОТОВ В.; ; 
2080;АХ, ПАНЕ, ПАНОВЕ...;ОКУДЖАВА Б.;ОКУДЖАВА Б.;ОКУДЖАВА Б.; ; 
746;АХ, САМАРА-ГОРОДОК;ЗОЛОТОЕ КОЛЬЦО;НАР, КОСТЮК А.;НАР.; ; 
1386;АХ, ЧТО ЗА ЛУНА;МАШИНА ВРЕМЕНИ;МАКАРЕВИЧ А.;МАКАРЕВИЧ А.; ; 
22;АХ, ЭТА ДЕВУШКА;КИРКОРОВ Ф.;БАБАЕВ А.;ПЕР. ЭЛЬ-РЕГИСТАН Г, ТУРСУН-ЗАДЕ М.;•; 
787;АХ, ЭТОТ ВЕЧЕР;"ИЗ К/Ф ""АХ, ВОДЕВИЛЬ, ВОДЕВИЛЬ...""";ДУНАЕВСКИЙ М.;ДЕРБЕНЕВ Л.; ; 
797;БАБОЧКА-ЛУНА;АЙВАЗОВ А.;АЙВАЗОВА.;ЖУКОВ В.; ; 
23;БАБЫ-СТЕРВЫ;АЛЛЕГРОВА И.;КРУТОЙ И.;ОСИАШВИЛИ С.;•; 
1635;БАГУЛЬНИК;КУЧИН И.;КУЧИН И.;КУЧИН И.; ; 
810;БАГУЛЬНИК;САМОЦВЕТЫ;ШАИНСКИЙ В.;МОРОЗОВ И.; ; 
820;БАЗАРА НЕТ;ЛЕСОПОВАЛ;ФЕДОРКОВ А.;ТАНИЧ М.; ; 
842;БАЙ-БАЙ;САЛТЫКОВА И.;МОЛЧАНОВ О.;СЛАВОРОСОВ А.; ; 
851;БАЛАЛАЙКА;ПАНАЙОТОВ А., ЧУМАКОВ А.;БРЕЙТБУРГ К.;КАВАЛЕРЯН К.; ; 
811;БАЛАЛАЙКА;ПУГАЧЕВА А.;НИКОЛАЕВ И.;ТАНИЧ М.;•; 
852;БАЛЛАДА О КОРОЛЕВЕ;КУЗЬМИН Е.;КУЗЬМИН В.;КУЗЬМИН В.; ; 
853;БАЛЛАДА О КРАСКАХ;КОБЗОН И.;ФЕЛЬЦМАН О.;РОЖДЕСТВЕНСКИЙ Р.; ; 
2081;БАЛЛАДА О ЛЮБВИ;ВЫСОЦКИЙ В.;ВЫСОЦКИЙ В.;ВЫСОЦКИЙ В.; ; 
25;БАЛТИЙСКИЙ БЕРЕГ;ГАЗМАНОВ О.;ГАЗМАНОВ О.;ГАЗМАНОВ О.; ; 
859;БАЛУЙСЯ, МАЛЬЧИК;ВАЙКУЛЕ Л., АНИШКО Е.;БРЕЙТБУРГ К.;САШИН С.; ; 
812;БАМОВСКИИ ВАЛЬС;САМОЦВЕТЫ;ТУЛИКОВ С.;ПЛЯЦКОВСКИЙ М.; ; 
861;БАНАНЫЛОПАЛАБОМВА;ГОРЯЧИЕ ГОЛОВЫ;ВИНОГРАДОВ В.;БОГАТЫРЕВ В.; ; 
26;БАТАРЕЙКА;ЖУКИ;ЖУКОВ В.;ЖУКОВ В.; ; 
1636;БАТЯ;МАРШАЛ А.;КЛИМЕНКОВ В.;КЛИМЕНКОВ В.; ; 
1881;БАЮШКИ-БАЮ;"ИЗ М/Ф ""БРЕМЕНСКИЕ МУЗЫКАНТЫ""";ГЛАДКОВ ГЕН.;ЭНТИН Ю.;•; 
27;БАЯДЕРА;ГАЗМАНОВ О.;ГАЗМАНОВ О.;ГАЗМАНОВ О.; ; 
1568;БЕГИ ЗА НЕЙ;ПРЕМЬЕР-МИНИСТР;ДЕМЧУК Т.;ДЕМЧУК Т.; ; 
864;БЕГИ ОТ МЕНЯ;ГОСТИ ИЗ БУДУЩЕГО;УСАЧЕВ Ю.;ПОЛЬНА Е.;•; 
869;БЕГУ ЗА ТОБОЙ;САЛТЫКОВА И.;ТЮРИН В,;ВОЙНАЛОВИЧ Л.; ;•
870;БЕДА;HI-FI;ЕСЕНИН П., МОРОЗОВ А.;РОМАНОВ С.;•; 
28;БЕДНАЯ ОВЕЧКА;СВИРИДОВА А.;СВИРИДОВА А.;СВИРИДОВА А.; ; 
1833;БЕЖИТ РЕКА;ОРБАКАЙТЕ К.;КОЛМАНОВСКИЙ Э.;ЕВТУШЕНКО Е.;•; 
633;БЕЗ ЛЮБВИ;РУКИ ВВЕРХ;ЖУКОВ С, ПОТЕХИНА.;ЖУКОВ С, ПОТЕХИН А.; ; 
813;БЕЗ МЕНЯ;ПУГАЧЕВА А.;ПАУЛС Р.;РЕЗНИК И.;•; 
2220;БЕЗ СУЕТЫ;МЕЛАДЗЕ В.;МЕЛАДЗЕ К.;МЕЛАДЗЕ К.; ; 
871;БЕЗ ТЕБЯ;140 УДАРОВ В МИНУТУ;КОНЕВ С.;КОНЕВ С.; ; 
30;БЕЗ ТЕБЯ;ГУБИНА.;ГУБИН А.;ГУБИНА.; ; 
877;БЕЗ ТЕБЯ;ДРУГИЕ ПРАВИЛА;ОРЛОВ А.;БАЙДО А.; ; 
1388;БЕЗОБРАЗНАЯ ЭЛЬЗА;КРЕМАТОРИЙ;ГРИГОРЯН А.;ГРИГОРЯН А.;•; 
884;БЕЗОТВЕТНАЯ ЛЮБОВЬ;АЛЛЕГРОВА И.;КРУТОЙ И.;КАЗАКОВА Р.; ; 
814;БЕЛАЯ АКАЦИЯ;ФРИСТАЙЛ;РОЗАНОВА.;КУЗНЕЦОВ С.; ; 
815;БЕЛАЯ БЕРЕЗА;ФРИСТАЙЛ;РОЗАНОВ А.;КУЗНЕЦОВ С.; ; 
816;БЕЛАЯ МЕТЕЛИЦА;ФРИСТАЙЛ;РОЗАНОВ А., СТОЛБОВ А.;КУЗНЕЦОВ С.; ; 
890;БЕЛАЯ НОЧЬ;САЛТЫКОВ В.;МОРОЗОВ А.;РОМАНОВ А.; ; 
891;БЕЛАЯ ПУШИСТАЯ;ЛЮБАША;ЛЮБАША;ЛЮБАША; ; 
892;БЕЛАЯ РЕКА;ДДТ;ШЕВЧУК Ю.;ШЕВЧУК Ю.; ; 
1638;БЕЛАЯ ТАЙГА;ОГОНЕК КАТЯ;КЛИМЕНКОВ В.;КЛИМЕНКОВ В.;•; 
2050;БЕЛЕЕТ ПАРУС ОДИНОКИЙ;ПОГУДИН О.;НЕИЗВ.;ЛЕРМОНТОВ М.; ; 
817;БЕЛОВЕЖСКАЯ ПУЩА;ПЕСНЯРЫ;ПАХМУТОВА А.;ДОБРОНРАВОВ Н.; ; 
906;БЕЛОЕ ПЛАТЬЕ;САША PROJECT;РЕВТОВ С.;РЕВТОВ С.; ; 
818;БЕЛОЕ СОЛНЦЕ;КОБЗОН И.;МИНКОВ М.;ЦВЕТАЕВА М.; ; 
2051;БЕЛОЙ АКАЦИИ ГРОЗДЬЯ ДУШИСТЫЕ;ТОЛКУНОВА В.;БАСНЕР В.;МАТУСОВСКИЙ М.; ; 
819;БЕЛОРУССИЯ;ПЕСНЯРЫ;ПАХМУТОВА А.;ДОБРОНРАВОВ Н.; ; 
909;БЕЛОЧКА;ТАТУ;КУРИЦЫН Е., ШАПОВАЛОВ И.;БОНДАРЬ Е.; ; 
1882;БЕЛЫЕ КОРАБЛИКИ;РУМЯНОВА К.;ШАИНСКИЙ В.;ЯХНИН Л.; ; 
1639;БЕЛЫЕ ПОЛЕНЬЯ;СЛУЦКИЙ И.;СЛУЦКИЙ И.;ПШЕНИЧНЫЙ А.; ; 
1389;БЕЛЫЙ КОЛПАК;СУКАЧЕВ Г;СУКАЧЕВ И.;СУКАЧЕВ И.; ; 
913;БЕЛЫЙ КОНЬ-ЧЕРНЫЙ КОНЬ;ЗОЛОТОЕ КОЛЬЦО;КОСТЮК А.;СТЕПАНОВ В.; ; 
31;БЕЛЫЙ ПЕПЕЛ;МАРШАЛ А.;СЛУЦКИЙ И.;ВУЛЫХ А.; ; 
822;БЕЛЫЙ СНЕГ;BEРАСЫ;ХАНОК Э.;БУРАВКИН Г.;•; 
915;БЕЛЫЙ СНЕГ;ПУГАЧЕВА А.;ЕСЕНИН П.;НЕБЫЛОВА Е.; ; 
823;БЕЛЫЙ ТАНЕЦ;СЕНЧИНА Л.;ТУХМАНОВ Д.;ШАФЕРАН И.; ; 
205;БЕЛЫМ;ТРУБАЧ Н.;ТРУБАЧ Н.;ТРУБАЧ Н.; ; 
32;БЕЛЫМ СНЕГОМ;БЛЕСТЯЩИЕ;ГРОЗНЫЙ А.;ИВАНОВА Т.; ; 
1834;БЕЛЫМ СНЕГОМ;НАР.;РОДЫГИН Е.;ВАРШАВСКИЙ Г; ; 
1640;БЕЛЫМ-БЕЛА;УСПЕНСКАЯ Л.;АЗАРОВ И.;КЛИМЕНКОВА О.; ; 
1390;БЕРЕГ;БУТУСОВ В.;БУТУСОВ В.;БУТУСОВ В.; ; 
2311;БЕРЕГ, КОТОРОГО НЕТ;КУЗЬМИН В.;КУЗЬМИН В.;КУЗЬМИН В.; ; 
2839;БЕРЕГА ЛЮБВИ;ОВСИЕНКО Т., САЛТЫКОВ В.;ДРОБЫШ В.;СТЮФ Л.; ; 
824;БЕРЕГИТЕ ДРУЗЕЙ;КОБЗОН И.;ЭКИМЯН А.;ГАМЗАТОВ Р., ПЕР. ГРЕБНЕВ Н.; ; 
825;БЕРЕЗА БЕЛАЯ;ЛЕЩЕНКО Л.;ШАИНСКИЙ В.;ОВСЯННИКОВА Л.;•; 
2910;БЕРЕЗОВЫЙ СОК;ПЕСНЯРЫ;БАСНЕР В.;МАТУСОВСКИЙ М.; ; 
3149;БЕРЕЗЫ;ТРУБАЧ Н.;ПРЕСНЯКОВ В. П.;ДАРИН Д.; ; 
2017;БЕРИ ШИНЕЛЬ, ПОШЛИ ДОМОЙ...;КОБЗОН И.;ЛЕВАШОВ В.;ОКУДЖАВА Б.; ;•
2859;БЕС ПАНИКИ;АЛИСА;КИНЧЕВ К.;КИНЧЕВ К.; ; 
3203;БЕСАМЭ МУЧО;ГОРБАЧЕВА А.;МАЛЫЙ Д.;АНАНЬЕВА Т.; ; 
2906;БЕСЕДКА;КОЗЛОВСКИЙ И.;НАР.;НАР.; ; 
1391;БЕСКОНЕЧНОСТЬ;ЗЕМФИРА;РАМАЗАНОВА 3.;РАМАЗАНОВА 3.; ; 
33;БЕСПРИЗОРНИК;HI-FI;ЕСЕНИН П.;ЧАНТУРИЯ Э.; ; 
2293;БЕССЕРДЕЧНАЯ;БИЛАН Д.;БРЕЙТБУРГ К., БРЕЙТБУРГ М.;САШИН С.;•; 
3059;БЕССОНИЦА;ПУГАЧЕВА А.;ПУГАЧЕВА А.;ДЕРБЕНЕВ Л.; ; 
2838;БИЛЕТ;HI-FI;ЕСЕНИН П.;ЧАНТУРИЯ Э., КОХ Е.; ; 
34;БИЛЕТ НА БАЛЕТ;КОРНЕЛЮК И.;КОРНЕЛЮК И.;ЛИСИЦ Р.; ;•
2905;БИРЮЗОВЫЕ КОЛЕЧКИ;ИЗАБЕЛЛА ЮРЬЕВА;НАР.;НАР.; ; 
2837;БИСЕР;МАЛИКОВ Д.;МАЛИКОВ Д.;ЛАРА Д`ЭЛИА; ; 
826;БIЛI НАРЦИСИ;РОТАРУ С.;ТАТАРЧЕНКО Г.;КРИЩЕНКО В.; ; 
827;БЛАГОСЛАВЛЯЮ ЭТОТ ВЕЧЕР;НИКОЛАЕВ И.;НИКОЛАЕВ И.;БЕЛЯВСКАЯ С.; ; 
1235;БЛЕСК В ЕЕ ГЛАЗАХ;КУЗЬМИН В.;КУЗЬМИН В.;КУЗЬМИН В.; ; 
2482;БЛИЖЕ;АГАТА КРИСТИ;САМОЙЛОВ В.;САМОЙЛОВ В.; ; 
2573;БЛИЖЕ;ВАРВАРА;МОЛЧАНОВ В.;МЕЛЬНИК И.; ;•
1392;БЛЮДЦА;ЧИЧЕРИНА;АЛЕКСАНДРОВА.;АЛЕКСАНДРОВА.; ; 
828;БОГАТЫРСКАЯ СИЛА;ЦВЕТЫ;ПАХМУТОВА А.;ДОБРОНРАВОВ Н.; ; 
1393;БОЖЕ, КАКОЙ ПУСТЯК;ИВАНОВ А.;ТРОФИМОВ С.;ТРОФИМОВ С.; ; 
1394;БОЙ ПРОДОЛЖАЕТСЯ;АРИЯ;ХОЛСТИНИН В., ДУБИНИН В.;ПУШКИНА М.; ; 
829;БОЛЬНО МНЕ, БОЛЬНО;КАЗАЧЕНКО В.;РОЗАНОВ А.;НАЗАРОВА Т.; ; 
830;БОЛЬШЕ ЖИЗНИ;ЦВЕТЫ;СЕМЕНОВ В.;ДЕРБЕНЕВ Л.; ; 
3044;БОЛЬШИЕ ПЛАНЫ;СМЫСЛОВЫЕ ГАЛЛЮЦИНАЦИИ;БОБУНЕЦ С.;ГЕННЕНФЕЛЬД О.; ; 
831;БОЛЬШОЙ ПРИВЕТ;АРКАНОВ А.;КРУТОЙ И.;АРКАНОВ А.; ; 
2083;БОЛЬШОЙ КАРЕТНЫЙ;ВЫСОЦКИЙ В.;ВЫСОЦКИЙ В.;ВЫСОЦКИЙ В.; ; 
36;БОРЬКА-БАБНИК;ДЮНА;ОСТРОВСКИЙ Г;ЕНИН Г;•; 
37;БОСИКОМ;АЛСУ;ОВЧИННИКОВА С.;ОВЧИННИКОВ О., ШЕВЧЕНКО А.; ; 
